City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Pozo Colorado,PY,76.33,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
171,Kadhan,PK,81.01,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
172,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
173,Grand-Santi,GF,71.17,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
174,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
175,Sibu,MY,87.76,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
176,Humaita,BR,72.14,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
177,Mana,GF,75.38,broken clouds,5.6592,-53.7767,LE SAMANA
178,Uige,AO,66.63,overcast clouds,-7.6087,15.0613,Hotel Catraio
179,Puerto Escondido,MX,77.99,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
180,Pachperwa,IN,71.08,clear sky,27.5167,82.65,Manglam mairrage haal
181,Manakara,MG,78.98,light rain,-22.1333,48.0167,La Residence Manakara
182,Sauce,UY,67.62,clear sky,-34.6469,-56.0628,Residencial despertares
183,Fare,PF,80.49,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
184,Parli,IN,86.61,clear sky,18.8486,76.5297,Hotel Arya Executive
185,Port Lincoln,AU,68.13,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
186,Jeremie,HT,75.42,scattered clouds,18.65,-74.1167,Auberge’Inn
187,Puerto Carreno,CO,78.94,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
188,Honiara,SB,82.51,broken clouds,-9.4333,159.95,Heritage Park Hotel
189,Hambantota,LK,88.14,few clouds,6.1241,81.1185,Bungalow 63
190,Pangkalanbuun,ID,75.34,light rain,-2.6833,111.6167,Grand Kecubung Hotel
191,Tabuk,PH,82.96,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
192,Umm Lajj,SA,70.66,broken clouds,25.0213,37.2685,Moon light Furnished Units
193,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
194,Itarantim,BR,69.85,overcast clouds,-15.6597,-40.0656,Pousada Buterfly
195,Chicama,PE,71.33,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
196,Wairoa,NZ,74.55,broken clouds,-39.0333,177.3667,Riverside Motor Camp
197,Richards Bay,ZA,71.92,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
198,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
199,Nechi,CO,73.08,overcast clouds,8.0942,-74.7757,Ivan Villadiego guerra
200,Concordia,AR,70.79,clear sky,-31.393,-58.0209,Palmar Hotel Casino
201,Marsh Harbour,BS,73.9,clear sky,26.5412,-77.0636,Abaco Beach Resort
202,Kaoma,ZM,65.03,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
203,Aborlan,PH,84.43,overcast clouds,9.4352,118.5492,Kevina Transient House
204,Si Satchanalai,TH,89.15,overcast clouds,17.5169,99.7598,Chanalai Resort and Hotel
205,Saint-Georges,GD,75.61,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
206,Souillac,MU,84.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
207,Ramanuj Ganj,IN,78.91,clear sky,23.8,83.7,HOTEL SAI SIDDHI
208,Mount Gambier,AU,66.2,few clouds,-37.8333,140.7667,The Commodore
209,Sur,OM,74.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
210,Russell,US,70.75,light intensity drizzle,32.3502,-85.1999,Macs
211,Ulladulla,AU,76.77,scattered clouds,-35.35,150.4667,Sandpiper Motel
212,Santa Fe,AR,70.0,light rain,-31.6333,-60.7,Conquistador Hotel
213,Pemangkat,ID,86.58,overcast clouds,1.1667,108.9667,Ramah Kost KITA
214,Taltal,CL,66.25,scattered clouds,-25.4,-70.4833,Residencial Karime
215,Matara,LK,87.46,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
216,Port-Gentil,GA,81.0,overcast clouds,-0.7193,8.7815,Fengshui Residence
217,Quang Ngai,VN,83.88,scattered clouds,15.1167,108.8,Central Hotel
218,Wanning,CN,78.37,overcast clouds,18.8003,110.3967,Paradise Hotel
219,Vao,NC,79.47,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
220,Afua,BR,73.98,scattered clouds,-0.1567,-50.3867,Hotel Dias
221,Tibacuy,CO,79.05,broken clouds,4.3511,-72.4564,hospedaje las palmas
222,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
223,Bandhi,PK,73.27,clear sky,26.5861,68.3006,"A,M Malik sweet š Bakers"
